rank,file,problem,score
1,07_large_steiner_systems.md,Large Steiner Systems,9.0
2,10_stretched_lr_coefficients.md,Stretched Littlewood-Richardson Coefficients,8.8
3,02_ramsey_style_problem_on_hypergraphs.md,A Ramsey-style Problem on Hypergraphs,8.4
4,01_ramsey_numbers_for_book_graphs.md,Ramsey Numbers for Book Graphs,8.3
5,14_unknotting_number_equals_one.md,Unknotting Number = 1,7.8
6,04_degree_vs_sensitivity_boolean_functions.md,Degree vs Sensitivity for Boolean Functions,7.4
7,13_prime_factorization_gnfs_constant.md,Prime Factorization (GNFS constant),7.1
8,03_arithmetic_kakeya_conjecture.md,The Arithmetic Kakeya Conjecture,6.8
9,09_inverse_galois_m23.md,Inverse Galois (M23 polynomial),6.2
10,11_symplectic_ball_packing.md,Symplectic Ball Packing,5.6
11,05_explicit_deformations_of_algebras.md,Explicit Deformations of Algebras,5.2
12,06_surface_with_high_number_of_singularities.md,Surface with a High Number of Singularities,4.9
13,12_apery_style_irrationality_proofs.md,Apéry-style Irrationality Proofs,4.6
14,08_2adic_absolute_galois_group.md,The 2-adic Absolute Galois Group,3.7
